Total protein number combining all batches: 8864
  In any 2 batche(s): 8837
  In any 1 batche(s): 27
Batch-specific protein numbers:
  batch1: 15
  batch2: 12

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126_B1	sig127N_B1	sig128N_B1	sig128C_B1	sig129C_B1	sig130N_B1	sig131C_B1	sig132C_B1	sig134N_B1	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig127C_B2	sig129N_B2	sig130C_B2	sig131N_B2	sig132N_B2	sig133N_B2	sig133C_B2	sig134C_B2	sig135N_B2
SJPG0103140.001	sp|Q9Y3D7|TIM16_HUMAN	Mitochondrial import inner membrane translocase subunit TIM16 OS=Homo sapiens OX=9606 GN=PAM16 PE=1 SV=2	PAM16	-	-	-	-	-	batch1	42	9	0	60.8	695986.76	392046.16	438951.97	348732.11	411999.14	394011.31	533014.18	402778.30	440287.24	batch2	42	9	0	60.8	538287.40	470216.75	524850.37	385263.80	507794.07	376473.97	455586.18	429575.96	334698.63
SJPG0107038.004	tr|B4E371|B4E371_HUMAN	"cDNA FLJ61565, highly similar to Homo sapiens nuclear receptor subfamily 2, group C, member 1 (NR2C1), transcript variant 1, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1"	NA	-	-	-	-	-	batch1	6	2	0	4.29	115544.97	62686.69	76333.59	50568.44	70327.35	67747.86	79175.92	64743.70	72453.81	batch2	6	2	0	4.29	88355.06	73603.83	78283.21	60660.15	81024.16	61021.15	80205.09	73841.14	54713.44
SJPG0109588.001	sp|Q92576|PHF3_HUMAN	PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3	PHF3	-	-	-	-	-	batch1	71	28	0	18.15	144711.39	90759.54	98678.46	72937.71	82173.37	82971.46	109430.41	82046.91	91336.07	batch2	71	28	0	18.15	109160.59	98320.08	105123.22	81603.93	102076.12	84565.90	97790.85	90130.66	75450.80
SJPG0114788.001	sp|Q14435|GALT3_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 3 OS=Homo sapiens OX=9606 GN=GALNT3 PE=1 SV=2	GALNT3	-	-	-	-	-	batch1	161	15	10	23.22	749412.31	408341.10	485794.02	347566.29	422483.65	407841.57	528075.42	393077.17	463702.87	batch2	161	15	10	23.22	604018.62	520400.15	556971.27	402932.98	500582.11	404061.49	451671.25	397963.71	334123.20
SJPG0101079.001	sp|Q9UM22|EPDR1_HUMAN	Mammalian ependymin-related protein 1 OS=Homo sapiens OX=9606 GN=EPDR1 PE=1 SV=2	EPDR1	-	-	-	-	-	batch1	1	1	0	4.91	102354.80	46695.97	63723.46	47392.38	58875.63	44027.57	68327.89	52336.12	60450.33	batch2	1	1	0	4.91	70648.27	78058.32	73817.61	63199.29	61153.50	57136.13	68186.62	37856.63	34856.82
SJPG0110554.001	sp|Q5VT06|CE350_HUMAN	Centrosome-associated protein 350 OS=Homo sapiens OX=9606 GN=CEP350 PE=1 SV=1	CEP350	-	-	-	-	-	batch1	3	3	3	0.99	73063.78	47994.91	49815.75	39389.09	42342.07	38430.34	55461.26	46007.36	47820.45	batch2	3	3	3	0.99	52565.66	53105.63	57271.68	42245.61	59109.95	38842.33	51770.81	43254.88	39342.92
SJPG0105164.003	sp|Q14978-3|NOLC1_HUMAN	Isoform 3 of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1	NOLC1	-	-	-	-	-	batch1	874	56	0	70.86	4532002.71	2576363.76	2958517.94	2152832.83	2662820.64	2582586.28	3179400.42	2471281.57	2784567.41	batch2	874	56	0	70.86	3298732.60	3070182.50	3230565.60	2420580.72	3201532.63	2513836.81	2908482.91	2576847.70	2342308.44
SJPG0110993.001	sp|Q0P651|ABD18_HUMAN	Protein ABHD18 OS=Homo sapiens OX=9606 GN=ABHD18 PE=2 SV=1	ABHD18	-	-	-	-	-	batch1	3	1	0	1.69	14493.33	7747.98	7918.71	5935.88	7476.58	7311.86	11248.28	6975.74	7233.68	batch2	3	1	0	1.69	10497.33	5506.49	10893.95	10764.20	12628.67	5031.57	11263.65	6336.71	5327.67
SJPG0100310.002	sp|O43852-2|CALU_HUMAN	Isoform 2 of Calumenin OS=Homo sapiens OX=9606 GN=CALU	CALU	-	-	-	-	-	batch1	257	16	0	48.25	1820513.94	1130902.56	1225996.40	934986.08	1147909.25	1163692.64	1446591.88	1120688.19	1348855.11	batch2	257	16	0	48.25	1380822.00	1342305.67	1415022.18	1078551.58	1490179.28	1079290.30	1273361.08	1242145.59	957990.81
SJPG0112432.001	sp|O00311|CDC7_HUMAN	Cell division cycle 7-related protein kinase OS=Homo sapiens OX=9606 GN=CDC7 PE=1 SV=1	CDC7	-	-	-	O	-	batch1	1	1	0	2.26	26657.14	14768.88	19773.99	11581.60	11667.38	13470.81	16670.20	12009.05	17069.45	batch2	1	1	0	2.26	18279.26	20014.10	15654.20	13234.68	20921.43	11132.48	17293.66	13988.04	11339.50
SJPG0108862.001	sp|O75792|RNH2A_HUMAN	Ribonuclease H2 subunit A OS=Homo sapiens OX=9606 GN=RNASEH2A PE=1 SV=2	RNASEH2A	-	-	-	-	-	batch1	22	10	7	39.46	103105.70	55912.58	66955.88	50958.62	59707.14	56498.96	70051.95	55893.81	59785.48	batch2	22	10	7	39.46	76948.02	71599.20	80236.85	48548.76	81837.51	53207.12	74132.18	48842.83	45904.74
SJPG0101568.001	sp|Q15119|PDK2_HUMAN	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDK2 PE=1 SV=2"	PDK2	-	-	-	O	-	batch1	2	2	0	4.18	36454.06	26150.90	22990.88	21272.12	19969.52	21645.14	29377.52	19091.49	23490.28	batch2	2	2	0	4.18	28127.98	24236.59	26012.89	20369.87	31025.58	27130.92	22505.57	22389.22	17328.85
SJPG0105505.001	sp|P15848|ARSB_HUMAN	Arylsulfatase B OS=Homo sapiens OX=9606 GN=ARSB PE=1 SV=1	ARSB	-	-	-	-	-	batch1	6	2	1	5.63	51205.67	23792.45	29246.11	21308.50	27687.08	25157.93	32264.18	23478.10	28395.59	batch2	6	2	1	5.63	33122.94	33443.06	34272.52	21183.78	37071.68	21187.46	34006.81	26895.33	19688.66
SJPG0102967.001	sp|Q92769|HDAC2_HUMAN	Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2	HDAC2	-	-	O	-	-	batch1	91	17	0	32.99	938215.37	508419.49	628583.49	451184.70	582627.66	543028.68	675582.74	538859.05	568519.57	batch2	91	17	0	32.99	680352.70	658350.47	682347.46	483189.46	684538.21	511025.59	643518.30	559928.15	475890.71
SJPG0107592.002	sp|Q9ULV0-2|MYO5B_HUMAN	Isoform 2 of Unconventional myosin-Vb OS=Homo sapiens OX=9606 GN=MYO5B	MYO5B	-	-	-	-	-	batch1	205	37	0	38.21	493729.87	274805.65	334561.03	242477.16	298648.09	277309.24	364598.42	276909.53	328718.62	batch2	205	37	0	38.21	375195.27	347329.95	375040.64	266200.59	364497.16	267702.42	333627.91	289769.14	246498.59
SJPG0114281.001	sp|Q9NVI1|FANCI_HUMAN	Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4	FANCI	-	-	-	-	-	batch1	34	18	1	13.63	147029.55	80513.82	91855.91	71499.60	80200.98	79547.25	98134.84	76238.89	84427.32	batch2	34	18	1	13.63	112125.13	97211.26	102856.57	74667.10	100289.75	78055.34	94869.10	72899.10	69133.16
SJPG0114009.001	sp|P11474|ERR1_HUMAN	Steroid hormone receptor ERR1 OS=Homo sapiens OX=9606 GN=ESRRA PE=1 SV=3	ESRRA	-	O	-	-	-	batch1	11	5	1	13.71	88487.00	45387.75	53798.41	40505.89	46943.75	48912.24	59899.82	39875.68	54464.96	batch2	11	5	1	13.71	64724.34	54875.61	63139.36	41987.20	53033.31	52172.53	55116.13	51797.69	35148.60
SJPG0109389.001	sp|Q9ULM3|YETS2_HUMAN	YEATS domain-containing protein 2 OS=Homo sapiens OX=9606 GN=YEATS2 PE=1 SV=2	YEATS2	-	-	O	-	-	batch1	17	10	8	9.21	89721.39	50196.27	60501.42	41711.68	52965.92	51191.10	62488.00	46443.97	56836.54	batch2	17	10	8	9.21	72347.14	68969.66	64606.44	45063.19	68579.10	52614.04	60174.51	43236.76	37273.39
SJPG0102402.001	sp|P29144|TPP2_HUMAN	Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4	TPP2	-	-	-	-	-	batch1	496	62	0	52.04	534408.60	297743.17	350039.44	261465.20	312494.05	291131.71	377109.72	286474.33	317669.05	batch2	496	62	0	52.04	391428.50	377468.45	389032.62	261401.39	397700.15	274623.36	372593.54	283532.76	262268.99
SJPG0106264.001	sp|Q96B23|CR025_HUMAN	Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3	C18orf25	-	-	-	-	-	batch1	28	5	0	15.84	64082.63	38027.43	41991.00	33987.79	40196.90	37113.55	43848.65	36863.53	39375.62	batch2	28	5	0	15.84	49989.41	43729.16	51068.80	31548.46	51355.80	33476.82	46986.68	33147.11	35017.47
SJPG0100190.001	sp|P20671|H2A1D_HUMAN	Histone H2A type 1-D OS=Homo sapiens OX=9606 GN=H2AC7 PE=1 SV=2	H2AC7	-	-	O	-	-	batch1	1109	8	0	43.07	123582427.70	66061860.49	78667919.06	54788647.94	65754334.56	66421732.76	83675877.68	61993367.23	73881965.93	batch2	1109	8	0	43.07	91618002.45	80362110.89	87093685.61	64189671.53	85329323.99	62083196.71	74868023.49	68621276.20	52577846.01
SJPG0101105.001	sp|Q13404|UB2V1_HUMAN	Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2	UBE2V1	-	-	-	-	-	batch1	146	8	0	53.74	1198846.75	657136.68	775018.65	622742.94	722615.92	658858.15	834861.97	660349.32	680488.88	batch2	146	8	0	53.74	872313.14	855235.73	915205.99	557536.81	938033.53	586761.15	871040.20	624098.70	596248.65
SJPG0101578.009	tr|A2SY06|A2SY06_HUMAN	Non-specific serine/threonine protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=MARK3 PE=1 SV=1	MARK3	-	-	-	-	-	batch1	14	7	1	22.96	194336.44	112355.43	133784.39	95751.70	111745.12	108836.75	141561.42	113459.91	122429.75	batch2	14	7	1	22.96	140396.15	133819.59	149929.76	99249.34	156702.68	101632.05	136744.54	112516.59	97646.04
SJPG0117528.001	sp|Q7Z745|MRO2B_HUMAN	Maestro heat-like repeat-containing protein family member 2B OS=Homo sapiens OX=9606 GN=MROH2B PE=2 SV=3	MROH2B	-	-	-	-	-	batch1	1	1	0	0.69	38857.48	24295.11	22337.32	17580.14	27389.33	21489.12	28150.97	20060.78	21570.29	batch2	1	1	0	0.69	32001.13	20055.82	30507.93	17323.49	35021.60	23265.45	21774.34	24337.97	18147.37
SJPG0104628.001	sp|Q96T51|RUFY1_HUMAN	RUN and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RUFY1 PE=1 SV=2	RUFY1	-	-	-	-	-	batch1	64	17	0	24.01	269489.66	158153.57	182619.78	131946.99	155824.57	147197.53	188752.98	146102.20	160212.77	batch2	64	17	0	24.01	201709.34	189209.26	195592.93	140345.96	198228.95	138752.70	182729.48	141306.87	139878.41
SJPG0102039.001	sp|Q8TD47|RS4Y2_HUMAN	"40S ribosomal protein S4, Y isoform 2 OS=Homo sapiens OX=9606 GN=RPS4Y2 PE=2 SV=3"	RPS4Y2	-	-	-	-	-	batch1	298	13	0	38.78	5646503.94	3137246.49	3709778.01	2693900.04	3127274.69	2979172.94	3900290.47	2927661.80	3181012.89	batch2	298	13	0	38.78	4272442.28	3961666.71	4083238.47	2636947.19	4238125.68	2717349.70	3802943.05	2746385.58	2733012.99
SJPG0163122.001	co|CON_P00761|Con	SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	NA	-	-	-	-	-	batch1	1490	14	14	58.87	47597415.10	43792385.85	45950642.72	55616806.67	53634790.76	51512218.05	53803284.16	56512078.15	53703265.24	batch2	1490	14	14	58.87	40812241.00	43190305.29	44490772.05	56845672.47	48315960.04	64509653.45	50745315.51	50578795.64	67385023.08
SJPG0101619.002	sp|P60660-2|MYL6_HUMAN	Isoform Smooth muscle of Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6	MYL6	-	-	-	-	-	batch1	263	13	0	74.83	6339292.37	3510874.27	4183752.90	3038207.25	4190258.19	3556889.43	4340168.35	3410522.43	3725660.89	batch2	263	13	0	74.83	4749799.68	4641269.21	4833196.93	3030924.36	4697785.62	3213801.59	4342647.91	3515472.56	3123986.92
SJPG0105428.001	sp|Q9NYM9|BET1L_HUMAN	BET1-like protein OS=Homo sapiens OX=9606 GN=BET1L PE=1 SV=1	BET1L	-	-	-	-	-	batch1	3	1	0	14.41	94614.16	51988.07	60654.95	42421.93	47781.84	49354.35	64203.27	47324.91	55890.17	batch2	3	1	0	14.41	87559.85	68284.14	80865.95	48903.54	60618.60	38619.56	58216.85	37988.56	41403.94
SJPG0106175.001	sp|O43861|ATP9B_HUMAN	Probable phospholipid-transporting ATPase IIB OS=Homo sapiens OX=9606 GN=ATP9B PE=2 SV=4	ATP9B	-	-	-	-	-	batch1	12	8	0	7.06	65081.98	40075.45	42748.23	32335.94	35759.81	39482.97	47690.92	38650.60	44616.13	batch2	12	8	0	7.06	50154.92	43595.81	50312.46	37612.28	45918.97	35289.75	46069.89	36966.98	36660.33
SJPG0110640.001	sp|O75691|UTP20_HUMAN	Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3	UTP20	-	-	-	-	-	batch1	401	73	63	27.25	420277.98	235492.22	272490.31	206892.79	244642.39	244211.41	300440.28	228616.40	269500.96	batch2	401	73	63	27.25	330638.33	294916.73	310833.49	234146.72	292089.66	233894.86	275564.82	242771.76	190241.77
SJPG0100126.001	sp|Q99962|SH3G2_HUMAN	Endophilin-A1 OS=Homo sapiens OX=9606 GN=SH3GL2 PE=1 SV=1	SH3GL2	-	-	-	-	-	batch1	28	5	0	11.93	205686.70	124426.33	134723.04	103048.79	118225.49	112058.13	147545.22	111303.43	125561.20	batch2	28	5	0	11.93	155421.35	146646.59	154790.80	99102.38	157468.34	108398.67	141809.49	105432.16	108777.60
SJPG0101645.001	sp|Q13228|SBP1_HUMAN	Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2	SELENBP1	-	-	-	-	-	batch1	287	24	0	59.74	1801166.80	992632.87	1186672.44	865358.45	1097433.85	969319.61	1234240.81	1002175.98	1026984.51	batch2	287	24	0	59.74	1313567.74	1248726.56	1373161.82	853136.88	1337987.55	953888.41	1206155.33	1009575.83	830750.34
SJPG0104490.001	sp|P21127|CD11B_HUMAN	Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4	CDK11B	-	-	-	O	-	batch1	259	35	0	41.76	635970.37	355765.22	426276.68	300922.38	377390.04	352625.61	458773.64	345320.09	401618.85	batch2	259	35	0	41.76	453136.79	432811.33	444641.47	317143.07	499038.23	334563.23	452344.28	357130.52	329445.74
SJPG0102500.004	tr|A0A0S2Z4I7|A0A0S2Z4I7_HUMAN	Vasodilator-stimulated phosphoprotein isoform 4 (Fragment) OS=Homo sapiens OX=9606 GN=VASP PE=2 SV=1	VASP	-	-	-	-	-	batch1	138	18	1	57.98	731057.79	415350.31	522053.76	432972.85	490718.10	506232.75	574609.61	498291.32	526001.28	batch2	138	18	1	57.98	573410.14	636108.00	614248.52	374125.87	568161.25	387187.35	665387.80	435420.88	480653.96
SJPG0101184.001	sp|P62942|FKB1A_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2	FKBP1A	-	-	-	-	-	batch1	14	3	0	33.33	79002.60	44435.28	56069.97	41500.70	56419.60	49890.45	54370.39	48362.79	48616.01	batch2	14	3	0	33.33	56097.58	66929.62	60860.90	37552.42	55024.33	42213.54	65317.58	47405.17	47627.16
SJPG0119396.001	sp|Q9H0H5|RGAP1_HUMAN	Rac GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=1	RACGAP1	-	-	-	-	-	batch1	26	9	0	17.09	120352.04	65616.11	77343.81	57159.92	65471.23	65217.03	84348.07	64265.80	76424.64	batch2	26	9	0	17.09	91848.96	85461.00	88723.45	69354.97	83182.44	64969.09	72015.77	61317.04	53576.65
SJPG0106029.001	sp|P42574|CASP3_HUMAN	Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2	CASP3	-	-	-	-	-	batch1	24	5	2	21.3	160347.60	83138.80	104537.12	78694.06	92459.64	86353.68	107948.31	84103.15	87719.81	batch2	24	5	2	21.3	120952.81	113865.36	119374.90	71976.34	105204.29	77981.59	103648.95	88333.74	78453.10
SJPG0110928.001	sp|Q96RW7|HMCN1_HUMAN	Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2	HMCN1	-	-	-	-	-	batch1	3	2	1	0.27	159617.00	110174.63	107806.05	101158.39	73344.54	99025.07	162822.93	104468.79	116270.38	batch2	3	2	1	0.27	124348.10	102321.64	123295.07	93126.33	156411.24	101494.51	112353.78	100506.00	105190.10
SJPG0114851.001	sp|O14893|GEMI2_HUMAN	Gem-associated protein 2 OS=Homo sapiens OX=9606 GN=GEMIN2 PE=1 SV=1	GEMIN2	-	-	-	-	-	batch1	3	3	0	13.21	51188.63	35297.17	35635.16	40424.76	39437.24	35174.38	45495.22	32750.29	35061.31	batch2	3	3	0	13.21	41457.05	49444.85	42211.72	32504.12	49171.95	34115.02	40611.76	27573.32	35701.50
SJPG0103839.001	sp|Q13405|RM49_HUMAN	"39S ribosomal protein L49, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL49 PE=1 SV=1"	MRPL49	-	-	-	-	-	batch1	83	7	0	43.37	703224.82	391027.42	436376.36	326951.15	390114.54	380333.43	497381.44	368856.63	432908.85	batch2	83	7	0	43.37	494805.98	466224.23	513452.59	373168.61	493917.24	381564.69	439216.85	419917.13	300916.19
SJPG0110048.001	sp|Q92560|BAP1_HUMAN	Ubiquitin carboxyl-terminal hydrolase BAP1 OS=Homo sapiens OX=9606 GN=BAP1 PE=1 SV=2	BAP1	-	-	O	-	O	batch1	23	9	7	13.31	106427.22	55926.81	65558.37	48446.38	58660.99	53904.12	72014.67	55772.87	61889.66	batch2	23	9	7	13.31	71668.30	69426.51	74189.84	51268.01	74222.32	56047.88	66372.69	59589.51	47719.88
SJPG0101747.010	tr|B4DJ63|B4DJ63_HUMAN	Serine hydroxymethyltransferase OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	batch1	498	26	0	53.17	4466918.02	2391353.37	2828749.97	2059460.35	2647872.28	2517837.87	3113492.76	2417204.70	2760235.12	batch2	498	26	0	53.17	3204221.58	3037978.34	3230564.28	2324408.83	3057841.78	2424030.77	2822429.73	2744887.12	2053208.32
SJPG0114831.001	sp|Q02742|GCNT1_HUMAN	"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=GCNT1 PE=1 SV=2"	GCNT1	-	-	-	-	-	batch1	14	5	5	12.62	117312.27	66348.65	73673.63	56253.92	65924.70	64348.33	85603.81	62337.91	75661.68	batch2	14	5	5	12.62	97851.96	84987.85	90790.49	66249.69	72157.93	63522.28	70215.76	62478.68	54931.31
SJPG0105972.001	sp|Q8N8R3|MCATL_HUMAN	Mitochondrial basic amino acids transporter OS=Homo sapiens OX=9606 GN=SLC25A29 PE=1 SV=2	SLC25A29	-	-	-	-	-	batch1	11	5	1	22.11	75432.70	41851.04	50309.99	39776.75	45162.23	44153.82	56741.58	41804.08	49759.40	batch2	11	5	1	22.11	66197.27	55866.44	59300.48	43095.60	53724.83	42120.43	47518.85	40452.09	36168.57
SJPG0105322.001	sp|Q9NZM1|MYOF_HUMAN	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	MYOF	-	-	-	-	-	batch1	1152	108	0	53.32	1416826.31	798750.89	936265.83	701893.20	823409.99	832936.97	1037826.13	793250.18	931326.02	batch2	1152	108	0	53.32	1074115.60	995076.90	1065252.67	762797.47	1043889.18	759747.89	955351.95	845084.75	703243.72
SJPG0106513.001	sp|Q9Y673|ALG5_HUMAN	Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens OX=9606 GN=ALG5 PE=1 SV=1	ALG5	-	-	-	-	-	batch1	56	9	1	30.55	236793.22	124131.08	153961.13	107230.74	140692.02	136946.36	158138.38	123806.92	146029.42	batch2	56	9	1	30.55	159007.49	159885.28	169931.96	124540.69	163809.14	122495.42	155416.53	143881.94	110725.81
SJPG0104409.001	sp|Q9NPB8|GPCP1_HUMAN	Glycerophosphocholine phosphodiesterase GPCPD1 OS=Homo sapiens OX=9606 GN=GPCPD1 PE=1 SV=2	GPCPD1	-	-	-	-	-	batch1	2	2	1	3.72	47970.87	26468.33	28082.90	25982.75	33267.70	28422.90	29145.38	24033.08	27970.76	batch2	2	2	1	3.72	26608.45	45895.11	33544.96	24597.82	40335.21	26370.05	28557.49	20649.83	27155.88
SJPG0100012.001	sp|P02686|MBP_HUMAN	Myelin basic protein OS=Homo sapiens OX=9606 GN=MBP PE=1 SV=3	MBP	-	-	-	-	-	batch1	3	2	0	20.07	29255.63	17347.24	20233.31	14275.67	21964.04	20546.75	21064.95	17331.72	20037.06	batch2	3	2	0	20.07	24249.07	32804.67	23631.23	17963.43	19141.73	11166.16	20676.97	18465.07	17561.67
SJPG0103127.100	tr|A0A0S1RNP0|A0A0S1RNP0_HUMAN	Truncated MHC class I antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-C PE=4 SV=1	HLA-C	-	-	-	-	-	batch1	2	1	0	24.32	25916.67	17852.35	19973.60	16998.68	17942.79	17999.25	22211.61	17461.84	18248.61	batch2	2	1	0	24.32	19869.46	20683.58	25975.74	11576.81	24299.70	17853.59	23114.75	19149.73	15130.14
SJPG0101792.001	sp|P09622|DLDH_HUMAN	"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2"	DLD	-	-	-	-	-	batch1	557	22	0	43.61	6972709.27	3882136.81	4493274.65	3168592.40	4004288.90	3811582.69	4701873.44	3519143.02	4226015.08	batch2	557	22	0	43.61	4949313.11	4575418.75	4905771.71	3666567.42	4802627.93	3749997.51	4310231.41	4088740.57	3181475.11
SJPG0106653.001	sp|Q53F19|NCBP3_HUMAN	Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2	NCBP3	-	-	-	-	-	batch1	66	18	3	29.35	195913.13	120099.88	138627.00	103855.80	129996.92	126830.32	151144.05	120265.35	138998.22	batch2	66	18	3	29.35	155759.83	141410.28	156798.69	114057.91	159458.16	116699.36	145007.91	118323.27	112201.92
SJPG0105574.001	sp|Q96Q06|PLIN4_HUMAN	Perilipin-4 OS=Homo sapiens OX=9606 GN=PLIN4 PE=1 SV=2	PLIN4	-	-	-	-	-	batch1	1	1	0	0.81	52185.50	43247.66	35159.57	34539.34	33815.79	48083.43	41875.80	42504.69	49888.84	batch2	1	1	0	0.81	41322.39	46954.09	39844.36	44463.86	52175.58	42393.43	40715.18	35082.67	36436.83
SJPG0106947.001	sp|O00115|DNS2A_HUMAN	Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2 PE=1 SV=2	DNASE2	-	-	-	-	-	batch1	48	6	0	14.72	515378.82	282171.11	328675.07	237131.01	301914.74	275690.62	353366.79	265321.39	314604.12	batch2	48	6	0	14.72	359267.18	324202.93	353028.49	271346.09	355371.99	286848.65	323043.69	313378.75	241673.12
SJPG0111967.001	sp|A6NCS6|CB072_HUMAN	Uncharacterized protein C2orf72 OS=Homo sapiens OX=9606 GN=C2orf72 PE=1 SV=2	C2orf72	-	-	-	-	-	batch1	20	7	7	35.25	70929.98	47772.17	47187.33	34976.15	40015.40	43131.34	52454.21	36607.46	42356.45	batch2	20	7	7	35.25	57409.61	51530.34	47808.69	41013.86	47978.33	40915.49	46847.60	38119.96	38604.14
SJPG0115312.001	sp|Q8NCD3|HJURP_HUMAN	Holliday junction recognition protein OS=Homo sapiens OX=9606 GN=HJURP PE=1 SV=2	HJURP	-	-	O	-	-	batch1	3	2	0	3.07	36184.98	22701.15	24578.51	17346.72	21074.49	19629.87	26408.52	22562.83	19277.11	batch2	3	2	0	3.07	26246.04	25042.71	27053.53	19263.23	26594.09	21294.09	24950.27	19467.55	17663.39
SJPG0106919.001	sp|O75182|SIN3B_HUMAN	Paired amphipathic helix protein Sin3b OS=Homo sapiens OX=9606 GN=SIN3B PE=1 SV=2	SIN3B	-	-	O	-	-	batch1	1	1	0	1.46	70561.00	39699.69	52811.39	35575.73	39892.32	34958.43	50335.30	34234.93	44921.06	batch2	1	1	0	1.46	53679.48	41454.38	46113.56	27027.32	62515.09	49948.49	51298.88	40813.31	31335.71
SJPG0109686.001	sp|O60512|B4GT3_HUMAN	"Beta-1,4-galactosyltransferase 3 OS=Homo sapiens OX=9606 GN=B4GALT3 PE=1 SV=2"	B4GALT3	-	-	-	-	-	batch1	1	1	0	3.05	47003.36	29120.62	32291.95	28678.80	24844.08	26341.95	38764.51	32899.49	29432.76	batch2	1	1	0	3.05	37853.04	34447.09	33722.64	24465.94	32852.87	29955.74	34814.12	28649.82	29487.83
SJPG0100158.001	sp|P24539|AT5F1_HUMAN	"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2"	ATP5PB	-	-	-	-	-	batch1	284	13	3	37.11	5730429.17	3039319.87	3954664.47	2720686.64	3530974.12	3236879.98	4119250.94	3138479.76	3631169.51	batch2	284	13	3	37.11	4230001.33	3864552.78	4162369.95	3173545.61	3979904.58	3111232.27	3710391.02	3580758.21	2830297.04
SJPG0110771.001	sp|Q8N4C6|NIN_HUMAN	Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=4	NIN	-	-	-	-	O	batch1	32	2	0	0.77	1052078.95	597831.44	717284.00	511355.47	653583.93	608689.10	762802.87	566460.12	690051.08	batch2	32	2	0	0.77	760118.04	677807.60	758496.70	611739.57	789370.75	618513.67	689585.15	672955.98	505229.02
SJPG0121883.001	sp|P54855|UDB15_HUMAN	UDP-glucuronosyltransferase 2B15 OS=Homo sapiens OX=9606 GN=UGT2B15 PE=1 SV=3	UGT2B15	-	-	-	-	-	batch1	101	10	4	16.79	321127.05	179362.15	217063.40	146420.15	183519.85	177427.64	227655.09	170443.04	203281.96	batch2	101	10	4	16.79	285716.87	245289.56	248932.59	170049.75	212785.11	180165.75	190520.55	156190.41	138922.49
SJPG0103737.001	sp|Q9Y2I1|NISCH_HUMAN	Nischarin OS=Homo sapiens OX=9606 GN=NISCH PE=1 SV=3	NISCH	-	-	-	-	-	batch1	8	6	0	4.79	67234.08	36668.73	40690.60	38108.93	38420.24	32114.84	47312.19	37366.57	40815.32	batch2	8	6	0	4.79	47266.44	43904.98	52751.29	31468.39	50834.34	34097.17	47443.71	35916.95	33452.12
