protein,species,quant,EA100915_05,EA100915_06,EA100915_09,EA100915_10,EA100915_13,EA100915_14,EA100915_18,EA100915_21,EA100915_25,EA100915_26,EA100915_29,EA100915_30,EA100915_33,EA100915_34,EA100915_38,EA100915_41
>sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3,human,dia,221510.4766,310901.2584,290466.5786,227853.3973,272833.3508,273789.8582,225687.1152,152130.5045,309090.6172,333552.6641,268066.9212,285020.8523,294655.5061,318276.5983,352315.7324,286448.967
>sp|Q9UN37|VPS4A_HUMAN Vacuolar protein sorting-associated protein 4A OS=Homo sapiens GN=VPS4A PE=1 SV=1,human,dia,747987.3752,684158.2957,746138.4229,840937.3589,903729.7157,910559.0154,729077.0246,550124.914,655224.7666,739947.6462,800374.9116,879826.4749,816475.3628,608565.3217,708494.4174,684660.2321
>sp|Q9UN72|PCDA7_HUMAN Protocadherin alpha-7 OS=Homo sapiens GN=PCDHA7 PE=2 SV=1;>sp|Q9Y5H5|PCDA9_HUMAN Protocadherin alpha-9 OS=Homo sapiens GN=PCDHA9 PE=2 SV=1,human,dia,532993.75,446262.0628,537469.3439,631733.6803,557013.5845,458720.6056,681960.7739,653242.8327,455906.3224,393233.4298,256090.3319,381817.4984,604724.3123,643186.3175,481450.9548,438758.0763
>sp|Q9UN76|S6A14_HUMAN Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) OS=Homo sapiens GN=SLC6A14 PE=2 SV=1,human,dia,45772.21875,46452.6577,36869.4634,54384.75797,42689.54796,54205.67592,66489.47725,27159.19373,57015.59975,99165.68211,70719.31102,56795.04635,37202.17423,56754.27703,61612.94777,66251.05204
>sp|Q9UN86|G3BP2_HUMAN Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,human,dia,326763.2266,248712.9846,305925.247,256871.8671,391132.4386,338408.318,378335.7443,422038.7714,304340.6505,294642.0916,284575.1208,285873.6878,359713.3971,303827.1169,215623.3231,281525.8945
>sp|Q9UNE7|CHIP_HUMAN E3 ubiquitin-protein ligase CHIP OS=Homo sapiens GN=STUB1 PE=1 SV=2,human,dia,1398082.707,1356977.576,1755402.221,1509313.741,1708185.385,1434252.161,1560371.079,1060172.788,1342212.612,1534659.306,1622698.925,1591006.736,1577142.412,1278992.126,1495343.877,1356671.328
>sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2,human,dia,167508.6641,122964.3735,219932.0002,140225.5497,248897.6021,293536.9242,163506.88,179691.6244,157698.6236,194990.5831,149654.2073,280345.2171,165975.4691,307826.3713,223933.9251,276645.2281
>sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,human,dia,198287.9356,171730.9916,160932.283,158996.6291,103877.1577,150067.6116,187161.4694,167434.4759,142187.1591,109355.3686,177702.6481,184202.395,173757.9924,144476.361,154746.0575,127762.7759
>sp|Q9UNL2|SSRG_HUMAN Translocon-associated protein subunit gamma OS=Homo sapiens GN=SSR3 PE=1 SV=1,human,dia,126997.3516,193629.4372,191373.9466,188290.1363,162703.9947,295033.5301,278546.3348,233882.6222,266419.3539,153813.0983,215822.8888,171613.0251,194164.1931,207217.0062,188247.4181,325119.0623
>sp|Q9UNM6|PSD13_HUMAN 26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens GN=PSMD13 PE=1 SV=2,human,dia,1820379.579,1842766.357,2004390.357,1869550.29,1619343.006,2018130.357,2331274.686,2164629.313,2029238.91,1907182.173,1750816.715,1938069.598,1671639.747,1842174.111,1674267.865,2050847.361
>sp|Q9UNP9|PPIE_HUMAN Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens GN=PPIE PE=1 SV=1,human,dia,108102.3906,55400.86282,113070.3726,99856.48456,59194.91158,115623.4262,78922.28814,129181.01,97810.21843,105117.4189,43161.92095,90485.62411,117631.7988,86119.37174,95421.13506,93429.94335
>sp|Q9UNQ0|ABCG2_HUMAN ATP-binding cassette sub-family G member 2 OS=Homo sapiens GN=ABCG2 PE=1 SV=3,human,dia,100504.3047,75545.70552,99113.73999,58722.83252,53709.05192,57019.23446,40222.44753,62931.59724,73520.95646,96597.06272,70131.97167,65244.19717,90874.43797,148095.9673,52220.79604,96269.79686
>sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3,human,dia,221447.7559,211325.6113,244088.6364,260038.0678,171695.0064,240942.9573,244573.3848,229209.2596,269371.358,172646.2502,157325.0627,234714.6306,237203.3714,196117.637,135452.9878,224821.4031
>sp|Q9UNX4|WDR3_HUMAN WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1,human,dia,291732.4883,173404.5192,344853.2736,362959.7273,167229.785,374100.63,306132.5636,190672.145,248556.0963,420855.4699,278871.1222,353353.5378,280909.7459,231947.5472,246600.7086,209363.7094
>sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=1 SV=2,human,dia,127399.625,120489.0181,127238.4929,134173.2108,83028.88687,145218.7964,137425.4514,86523.90102,80231.12648,148146.5925,169548.5146,99905.80718,152099.8831,139293.9314,110712.9483,122456.382
>sp|Q9UP83|COG5_HUMAN Conserved oligomeric Golgi complex subunit 5 OS=Homo sapiens GN=COG5 PE=1 SV=3,human,dia,88957.39844,58789.32733,110096.3514,96374.53134,118958.3225,132901.1393,99227.16357,105849.6223,108489.3205,124875.9597,118171.1444,114244.6604,63292.81761,115473.1215,95676.80054,123754.4189
>sp|Q9UPN9|TRI33_HUMAN E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens GN=TRIM33 PE=1 SV=3,human,dia,259411.9209,163737.0573,271392.3717,234142.9656,302605.9239,186013.2693,271971.4401,334744.0645,291390.9274,280337.8056,329136.3575,299366.1568,181965.4305,310110.5491,187110.7918,374774.5493
>sp|Q9UPT8|ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3,human,dia,70976.52344,28815.86816,61201.32648,36849.49949,59028.0313,41439.56892,67320.88373,39551.05042,69605.24341,44218.04646,81296.56688,41448.58401,50172.45683,72967.42176,59209.189,41213.85211
>sp|Q9UQ35|SRRM2_HUMAN Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2,human,dia,1762477.824,1720692.032,1801041.809,2160045.351,2006315.93,2305039.043,1642164.175,1752418.612,1768406.22,2105359.449,1818401.692,2288043.701,2070678.77,1858623.557,2105070.716,2061016.346
>sp|Q9UQ80|PA2G4_HUMAN Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3,human,dia,6523982.76,6961252.09,6945312.69,6707420.482,7382290.673,6382880.304,7200689.635,6088822.803,7649464.057,6911714.019,6147428.814,6592738.956,7347153.07,6556286.972,7679592.395,6711744.251
>sp|Q9UQB3|CTND2_HUMAN Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3,human,dia,42470.65332,58337.36126,60491.0888,57265.44614,58528.57901,82843.33051,48986.52872,75193.25135,60888.59057,66908.98819,79639.17232,54237.65341,79764.99784,71880.30134,46002.47132,59845.67658
>sp|Q9UQB8|BAIP2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1,human,dia,297898.7227,542988.7737,272771.2651,427446.3966,359332.5846,429962.2164,448817.6663,184212.142,122212.2384,516447.0537,195778.6655,345778.4926,293202.2905,520289.1079,716641.8448,297509.0112
>sp|Q9UQE7|SMC3_HUMAN Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2,human,dia,161616.3003,195092.5317,181456.7273,158464.5129,203660.2872,211984.7292,139272.5032,215510.6649,190534.8528,205768.81,211226.2998,201161.1065,181573.4897,166643.94,138905.5953,249624.2882
>sp|Q9Y224|CN166_HUMAN UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1,human,dia,890327.3184,737561.2994,1051306.031,974318.9662,809758.9815,920429.2557,948450.1566,993530.1558,953262.2807,710396.5561,920565.6119,1082907.046,949707.7628,777572.7131,888591.8213,929178.1792
>sp|Q9Y230|RUVB2_HUMAN RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3,human,dia,3521946.099,3765699.325,3538152.58,3108412.256,3101017.233,3246894.572,3356737.683,3624321.786,3025679.768,3220665.525,3574565.209,2918519.137,3117466.849,3040268.001,3356222.082,3274122.761
>sp|Q9Y256|FACE2_HUMAN CAAX prenyl protease 2 OS=Homo sapiens GN=RCE1 PE=1 SV=1,human,dia,84466.34375,95362.45674,80186.01483,116232.7956,83119.86611,81063.03531,89616.20111,105662.5651,75078.16323,107002.1715,79056.99376,101091.3776,103075.9396,121339.8793,78560.26556,84745.02237
>sp|Q9Y262|EIF3L_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1,human,dia,1055330.373,1170619.899,930639.3492,1228347.98,1013574.363,891359.898,1135657.238,1513275.845,1074552.108,887423.1681,982893.4305,1334539.391,872822.433,993044.6567,949047.458,852972.983
>sp|Q9Y263|PLAP_HUMAN Phospholipase A-2-activating protein OS=Homo sapiens GN=PLAA PE=1 SV=2,human,dia,144953.8965,146638.2453,217400.8517,171084.6536,237562.8982,247382.2797,75140.83355,181124.2231,175966.1109,211320.9834,168912.4685,221133.4233,182661.3588,244308.5477,228693.2,210607.2356
>sp|Q9Y265|RUVB1_HUMAN RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,human,dia,3903208.93,3677737.931,4229369.013,3580618.595,4019973.344,3840443.403,4048571.313,4186627.387,3683390.17,3992559.293,4330737.813,4271182.575,3966183.427,3600862.459,3662104.791,4071580.607
>sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1,human,dia,873811.1514,1054912.808,901551.1995,784245.3349,875907.2629,1023546.95,873419.8805,746408.5499,911140.9324,988307.8606,972854.7383,724784.1602,1028987.98,890680.0627,1060945.557,1047173.873
>sp|Q9Y276|BCS1_HUMAN Mitochondrial chaperone BCS1 OS=Homo sapiens GN=BCS1L PE=1 SV=1,human,dia,47332.14844,44113.03376,16949.61283,19350.0307,31439.59359,45593.49625,18034.59461,25783.91276,21168.31441,23106.88423,27560.39464,34569.19043,22080.69161,16837.87925,28904.16191,43010.3247
>sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,human,dia,1421753.016,1068033.601,1246874.278,1510836.544,1356406.382,1138897.675,1280071.911,1284021.317,1257001.38,1551266.82,2730881.588,1750315.766,1280463.31,1338719.421,1116454.904,1389366.066
>sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3,human,dia,709905.6074,706532.5931,543578.8253,565673.2345,780852.127,740125.1943,687976.856,641736.5357,639007.4539,587616.2159,718657.8593,742881.2243,776470.4608,740543.1838,664646.5732,635102.1233
>sp|Q9Y289|SC5A6_HUMAN Sodium-dependent multivitamin transporter OS=Homo sapiens GN=SLC5A6 PE=2 SV=2,human,dia,93483.35938,116039.6975,147823.651,124818.93,88041.49041,103509.783,126465.82,100942.1896,59042.53069,66550.54768,86656.29322,90774.00566,113774.4686,61596.62326,122901.7837,115682.0918
>sp|Q9Y295|DRG1_HUMAN Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1,human,dia,738217.1133,749414.9782,839734.2529,839339.134,810614.9928,914358.0586,857968.0664,945965.9719,812064.0606,933140.8237,955142.5095,884670.6868,704764.9804,952459.8146,690421.7134,866651.2254
>sp|Q9Y296|TPPC4_HUMAN Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1,human,dia,73000.04688,68272.17025,64538.25961,49082.08038,75742.11056,77655.31647,77705.48524,45793.99307,74901.22821,91692.03667,95320.5771,85284.62648,50324.86405,101754.5535,71422.43561,73469.22081
>sp|Q9Y2A7|NCKP1_HUMAN Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1,human,dia,335028.9199,295130.0049,387298.9996,285093.055,358408.2032,364963.6768,329788.0341,344313.763,335563.686,300151.214,337031.7495,389600.4107,361696.7427,404874.2873,407062.7231,401032.3808
>sp|Q9Y2B0|CNPY2_HUMAN Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1,human,dia,732583.6251,590942.2558,425641.5642,504943.5808,594787.9164,555795.3056,482236.3003,448181.8749,647597.6571,570763.4287,606689.6777,427297.2873,498596.5755,424306.8393,588226.7989,501729.4822
>sp|Q9Y2L1|RRP44_HUMAN Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,human,dia,206727.2969,192814.5725,144889.4208,283895.9829,205542.2049,290754.5473,292466.1789,335402.3661,234750.6901,311084.7635,207164.5757,283321.3261,247644.6901,262895.0963,265403.7662,222054.1982
>sp|Q9Y2P8|RCL1_HUMAN RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens GN=RCL1 PE=1 SV=3,human,dia,22519.31836,24624.94986,29821.27494,31786.09679,19281.08854,31836.46299,27209.22646,30721.46611,36341.06635,21075.11892,24402.35981,25643.60266,25352.64468,29038.25461,21775.40942,25220.12154
>sp|Q9Y2Q3|GSTK1_HUMAN Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 PE=1 SV=3,human,dia,164414.3906,177843.2159,200161.3137,34725.51706,232575.0972,237369.0856,136849.8426,180569.8057,151314.6209,224317.6579,177470.7941,166032.1643,227316.4894,137732.424,171035.0488,202845.5522
>sp|Q9Y2Q5|LTOR2_HUMAN Ragulator complex protein LAMTOR2 OS=Homo sapiens GN=LAMTOR2 PE=1 SV=1,human,dia,245871.1172,191984.5274,223888.7354,199978.3366,187158.8218,233019.9714,207501.8292,195726.0497,224044.4021,179645.596,225589.1329,215751.0826,276583.4265,181064.2981,216716.8284,209878.247
">sp|Q9Y2Q9|RT28_HUMAN 28S ribosomal protein S28, mitochondrial OS=Homo sapiens GN=MRPS28 PE=1 SV=1",human,dia,292621.6768,402802.3849,261375.5882,357973.6927,376259.0194,313004.17,284835.2886,298577.6983,361936.8797,342725.6262,274308.932,337100.1876,285252.1242,346961.3787,323954.7135,316309.9121
>sp|Q9Y2R4|DDX52_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3,human,dia,10043.72656,24523.75213,15948.36924,15738.46138,21265.32957,22515.49896,29322.8311,12117.20543,23370.5479,31325.6754,14322.96134,19889.94007,9946.390802,26685.35126,30872.41446,26266.30672
">sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=1 SV=1",human,dia,91766.6875,136915.0984,165845.2472,119575.9864,117156.4968,82245.63725,143970.9075,102637.6552,83577.89884,87235.48728,30438.10128,140612.8708,133916.0935,74529.93451,127998.7565,112837.077
">sp|Q9Y2R9|RT07_HUMAN 28S ribosomal protein S7, mitochondrial OS=Homo sapiens GN=MRPS7 PE=1 SV=2",human,dia,281502.8281,401633.3845,303273.7743,367168.0579,362006.2611,428144.3883,265498.2807,341340.0942,315543.2805,397784.0191,382133.7352,370195.437,389955.1948,376286.2216,353039.4389,376420.723
>sp|Q9Y2S7|PDIP2_HUMAN Polymerase delta-interacting protein 2 OS=Homo sapiens GN=POLDIP2 PE=1 SV=1,human,dia,429574.6172,402752.0343,559826.6147,403316.2459,414507.0452,415851.5817,345958.8201,450774.6968,294802.39,383571.6308,369377.3384,404724.176,414679.0836,382722.2798,419966.8168,421694.1142
>sp|Q9Y2T2|AP3M1_HUMAN AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1,human,dia,325016.5391,341777.3009,209763.9859,303129.9244,325619.7718,275477.3912,242137.1243,322571.2192,320258.6214,296701.9423,322086.3152,312207.9936,321538.8618,351899.5429,342239.1417,347790.4234
>sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens GN=THRAP3 PE=1 SV=2,human,dia,1068427.244,1089019.707,1023292.622,1024518.046,933343.5146,953882.3829,1050570.234,1052018.583,1098193.356,1096229.111,849929.7916,1056756.219,889489.9747,889405.3087,1091449.641,972405.8622
>sp|Q9Y2W2|WBP11_HUMAN WW domain-binding protein 11 OS=Homo sapiens GN=WBP11 PE=1 SV=1,human,dia,161743.4063,122863.6348,122382.1337,78422.31591,118448.2911,251173.1089,175816.8092,165929.0715,131832.9419,97894.88556,120710.1952,107984.0776,192977.8584,141524.4604,110946.0505,86809.19663
>sp|Q9Y2W6|TDRKH_HUMAN Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2,human,dia,67826.68897,68477.14658,51093.25409,82281.18882,56287.90442,95456.90139,60654.12258,62350.84209,53994.49864,69061.04692,72646.56809,39958.57257,55063.51987,47005.46409,64102.35194,36994.40831
>sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,human,dia,1100476.561,857832.7402,928830.8112,997268.1511,982878.1362,972124.3277,904296.7804,886857.9443,1099655.196,954386.5652,973946.0553,982015.6503,1077224.066,860874.7121,899213.1608,1068294.461
>sp|Q9Y2Z0|SGT1_HUMAN Protein SGT1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3,human,dia,107144.083,147051.3671,115196.6341,170738.2652,169093.6022,113813.1375,173695.5512,176147.3058,197900.8479,120427.7844,177595.2757,206084.5656,144034.1067,156624.9279,211522.3259,125904.6121
">sp|Q9Y2Z4|SYYM_HUMAN Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens GN=YARS2 PE=1 SV=2",human,dia,61119.51563,48743.17663,63906.25471,46618.66574,85795.5294,68984.11204,93262.28509,67369.03451,59512.95066,101400.293,51601.97329,84376.34637,61629.5494,70384.56381,51143.05693,57480.30732
">sp|Q9Y2Z9|COQ6_HUMAN Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Homo sapiens GN=COQ6 PE=1 SV=2",human,dia,131014.4141,150344.0366,85044.93275,123245.3503,139843.1447,133227.4841,180059.782,148831.3095,134646.9309,156859.4502,155618.8868,161963.1883,163522.2263,166898.4256,205044.1121,131733.7127
>sp|Q9Y314|NOSIP_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens GN=NOSIP PE=1 SV=1,human,dia,84220.73438,134587.4587,72411.21013,89157.31543,95741.49606,89043.61423,114719.726,85417.49803,104198.2333,126467.3547,129871.5035,147521.1789,104911.4269,86939.82021,55824.44542,102353.4576
>sp|Q9Y320|TMX2_HUMAN Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2 PE=1 SV=1,human,dia,66170.06251,64630.89186,69269.54761,59034.26572,41457.78929,72570.00207,62329.80285,70636.33022,85520.18819,70321.86622,84598.20794,61493.12035,70903.45214,29243.70639,65734.8585,57657.66992
>sp|Q9Y365|STA10_HUMAN START domain-containing protein 10 OS=Homo sapiens GN=STARD10 PE=1 SV=2,human,dia,2739232.633,2386148.43,2333543.646,2347521.994,2204966.246,2555346.718,2073115.351,2512723.664,2358278.682,2249653.004,2134809.87,2402628.501,2337739.753,1759914.934,2054795,1814539.209
>sp|Q9Y376|CAB39_HUMAN Calcium-binding protein 39 OS=Homo sapiens GN=CAB39 PE=1 SV=1,human,dia,48847.9375,41448.09323,45486.43901,42511.22735,27482.03658,49094.18135,45045.72268,36123.97659,30372.25338,45229.98314,12331.58922,52548.83818,22742.09219,26478.0672,29469.5624,46536.71098
>sp|Q9Y383|LC7L2_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens GN=LUC7L2 PE=1 SV=2,human,dia,445045.4632,514005.121,532659.957,534491.8516,509332.1384,525396.6428,576925.9996,444414.1023,630273.1589,516651.7937,480356.351,474278.5825,599947.6875,547303.4304,643514.8109,446209.6232
>sp|Q9Y394|DHRS7_HUMAN Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1,human,dia,106680.9531,116063.983,123345.127,147003.8771,106295.3334,136765.935,67677.69933,95923.02039,134940.4982,160392.8586,139236.1828,194326.1481,132904.2428,75916.80297,146789.3789,120250.8091
">sp|Q9Y399|RT02_HUMAN 28S ribosomal protein S2, mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1",human,dia,297674.9922,320310.4782,244843.7384,389570.4435,300019.8102,430398.8998,344906.0998,235978.6561,270158.6486,362339.2376,373224.8792,304274.2648,286215.5816,315980.0956,289637.6911,286531.0457
>sp|Q9Y3A3|PHOCN_HUMAN MOB-like protein phocein OS=Homo sapiens GN=MOB4 PE=1 SV=1,human,dia,119976.8516,128587.236,127212.8808,134860.1893,57876.18824,77450.63716,112714.4357,69689.2108,121542.7864,102671.8005,170269.7016,117213.0954,73025.63023,101624.5939,149568.4857,125436.183
>sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens GN=SBDS PE=1 SV=4,human,dia,3759502.34,1787470.871,3110416.187,2087605.965,1958750.108,2425533.816,3256786.334,2604922.33,3256998.935,1604010.081,1044786.288,2224059.378,2486721.392,2034848.041,2776959.274,2577336.144
>sp|Q9Y3A6|TMED5_HUMAN Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens GN=TMED5 PE=1 SV=1,human,dia,301756.8125,362273.3814,373513.6888,346088.6293,306410.788,331798.2306,455302.798,333701.0971,352866.853,306468.764,340586.4651,300227.8891,347458.0409,297713.7723,352937.6794,398446.0884
>sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2,human,dia,217653.0703,307104.9245,147193.1611,233383.8028,121077.2608,333230.7532,177980.6045,320068.7154,135490.6994,265107.5638,263710.4393,124600.1463,258457.7569,299111.1705,205393.4923,209319.8764
>sp|Q9Y3B4|SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1,human,dia,518909.5508,437876.986,533861.251,514206.1417,489088.4942,505602.9242,379969.0023,563295.1065,493447.6911,537413.816,496721.4205,507871.6448,594341.6763,469078.417,471068.6649,467687.4064
">sp|Q9Y3B7|RM11_HUMAN 39S ribosomal protein L11, mitochondrial OS=Homo sapiens GN=MRPL11 PE=1 SV=1",human,dia,167018.4687,134309.1231,123156.4148,112430.9027,128381.6808,168350.8415,179126.0246,166251.8683,126536.6627,199144.9967,192623.5336,152542.7057,128118.1385,96023.60745,82810.54249,111505.0719
>sp|Q9Y3C1|NOP16_HUMAN Nucleolar protein 16 OS=Homo sapiens GN=NOP16 PE=1 SV=2,human,dia,74246.90625,48178.83608,61366.87215,88117.70917,79133.65829,92385.91467,70024.26019,62011.77054,65696.63667,53818.7004,67281.57802,37112.38817,74399.05354,55685.83845,58263.30071,67161.30089
>sp|Q9Y3C6|PPIL1_HUMAN Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1,human,dia,113209.1094,164957.6376,189783.3742,156156.8981,61443.24962,175675.7639,188878.5155,80450.13007,118960.6106,231347.0343,111826.9996,127599.8962,52284.27338,86812.01891,99362.979,307641.0079
>sp|Q9Y3D6|FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2,human,dia,772525.211,813317.9344,592777.656,594170.0694,648144.5241,591667.3061,472936.3406,637766.3083,808839.6065,691398.0232,673046.1415,674702.5796,567990.8308,420638.4661,440020.4115,678595.1762
">sp|Q9Y3D9|RT23_HUMAN 28S ribosomal protein S23, mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=2",human,dia,583695.5039,662871.7486,658807.4654,677572.3271,576894.1605,592963.7659,722741.8776,603765.9453,553038.0741,809860.0545,466702.9853,574532.9659,706070.1746,604627.6659,616514.3829,674752.2389
>sp|Q9Y3E0|GOT1B_HUMAN Vesicle transport protein GOT1B OS=Homo sapiens GN=GOLT1B PE=1 SV=1,human,dia,98480.28906,112250.2236,97157.92548,98887.79282,76226.16978,143342.3721,85396.73595,117675.9905,148607.0124,111830.7096,136241.3298,77238.45545,113749.4199,84847.68245,103395.9995,147523.8334
>sp|Q9Y3E1|HDGR3_HUMAN Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens GN=HDGFL3 PE=1 SV=1,human,dia,44370.77344,83917.69442,43662.32822,66406.20092,71029.07773,84042.55074,54596.51415,65093.54461,49454.88017,38452.37412,92504.08005,113945.1875,55790.00002,49096.38536,85707.71901,64615.07336
>sp|Q9Y3E2|BOLA1_HUMAN BolA-like protein 1 OS=Homo sapiens GN=BOLA1 PE=1 SV=1,human,dia,262696.1484,207365.1231,220917.0278,178694.0568,206765.3934,212506.3007,272575.8915,283777.3703,297131.0712,198398.0522,216639.9135,238771.8186,305183.2038,198646.3068,198943.2106,268292.8354
">sp|Q9Y3E5|PTH2_HUMAN Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1",human,dia,538480.4258,644202.7898,718906.7417,525014.6712,394693.0553,549127.4604,533390.0247,673055.6329,550424.1568,701019.221,579448.6084,567643.3264,598043.345,658135.8862,659393.067,712109.4839
>sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1,human,dia,911306.2618,863745.5701,1155099.204,1111630.143,1200824.126,1119117.394,893450.6067,999544.0393,1110675.824,1238305.216,1160672.921,1072831.743,1009562.72,1062773.872,989006.91,1096765.854
>sp|Q9Y3I0|RTCB_HUMAN tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1,human,dia,2578309.207,2508318.26,2130967.528,2628138.463,2687164.191,2685864.254,2261423.059,2562051.808,2726144.179,2389190.617,2045142.731,2792172.776,2735429.51,2838719.519,2270048.041,2357970.4
>sp|Q9Y3L5|RAP2C_HUMAN Ras-related protein Rap-2c OS=Homo sapiens GN=RAP2C PE=1 SV=1,human,dia,3112870.148,2665192.637,2423931.284,1744544.392,2389963.625,881619.5786,1718105.93,2665290.406,2371853.452,1825680.864,2444026.578,2330968.323,2178498.099,1532551.828,2343856.44,2528534.563
>sp|Q9Y3Q3|TMED3_HUMAN Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=1 SV=1,human,dia,42536.46875,41947.20939,67686.22324,40770.95632,43849.68405,52229.70799,56121.42389,16106.51367,67393.37155,55137.72227,27394.19004,48257.96528,32928.45568,42889.04346,47963.86079,71679.87978
>sp|Q9Y3R5|DOP2_HUMAN Protein dopey-2 OS=Homo sapiens GN=DOPEY2 PE=1 SV=5,human,dia,8296.423828,3374.541583,4532.030563,11694.08124,5795.40583,17121.08131,17154.19489,14551.28218,11041.02848,6105.320553,13404.23346,13482.6892,10247.01878,14310.1808,14182.71064,10313.14956
>sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4,human,dia,212058.8633,158572.952,205623.8557,194515.3245,185295.4481,175350.9529,171364.7602,142344.8608,207789.5045,119723.1988,159971.4555,168497.0766,188482.5561,210431.5454,161358.4128,172085.2055
